iter	Passed	Remaining
0	293	293449
1	439	219325
2	557	185113
3	715	178225
4	866	172530
5	1066	176605
6	1220	173127
7	1329	164821
8	1449	159582
9	1615	159953
10	1783	160383
11	1922	158284
12	2092	158858
13	2262	159376
14	2411	158345
15	2558	157356
16	2697	155964
17	2839	154936
18	3029	156395
19	3196	156632
20	3358	156587
21	3486	154975
22	3635	154435
23	3773	153444
24	3883	151448
25	4001	149892
26	4129	148826
27	4231	146901
28	4306	144196
29	4393	142059
30	4472	139790
31	4550	137665
32	4624	135525
33	4699	133531
34	4772	131577
35	4848	129836
36	4927	128251
37	4997	126518
38	5075	125066
39	5217	125230
40	5362	125435
41	5492	125277
42	5602	124678
43	5728	124470
44	5848	124121
45	5973	123879
46	6089	123471
47	6231	123587
48	6372	123682
49	6541	124284
50	6688	124463
51	6806	124083
52	6920	123659
53	7092	124245
54	7226	124171
55	7352	123945
56	7459	123413
57	7548	122593
58	7627	121650
59	7693	120537
60	7776	119710
61	7927	119936
62	8022	119325
63	8099	118461
64	8185	117752
65	8274	117091
66	8345	116214
67	8424	115464
68	8622	116335
69	8794	116842
70	8926	116805
71	9043	116557
72	9167	116418
73	9324	116680
74	9457	116640
75	9590	116606
76	9796	117435
77	9940	117502
78	10025	116877
79	10098	116137
80	10218	115939
81	10295	115258
82	10362	114490
83	10438	113830
84	10523	113284
85	10600	112662
86	10675	112031
87	10762	111534
88	10852	111086
89	10972	110948
90	11094	110823
91	11210	110647
92	11339	110587
93	11506	110902
94	11700	111463
95	11857	111658
96	12114	112779
97	12256	112811
98	12403	112884
99	12549	112944
100	12720	113223
101	12809	112777
102	12890	112257
103	12964	111698
104	13027	111044
105	13098	110470
106	13166	109882
107	13239	109346
108	13308	108787
109	13375	108222
110	13443	107667
111	13524	107226
112	13628	106977
113	13737	106767
114	13845	106551
115	13958	106376
116	14073	106213
117	14188	106051
118	14334	106124
119	14469	106106
120	14611	106142
121	14741	106087
122	14851	105892
123	14958	105671
124	15090	105634
125	15202	105454
126	15322	105330
127	15434	105147
128	15526	104834
129	15612	104480
130	15704	104178
131	15805	103931
132	15898	103638
133	15999	103397
134	16098	103149
135	16167	102711
136	16287	102601
137	16392	102394
138	16497	102187
139	16620	102094
140	16738	101973
141	16908	102166
142	17065	102275
143	17218	102355
144	17348	102298
145	17456	102106
146	17570	101954
147	17692	101853
148	17763	101451
149	17835	101066
150	17904	100666
151	17976	100292
152	18061	99986
153	18133	99617
154	18204	99245
155	18325	99144
156	18482	99238
157	18624	99251
158	18742	99135
159	18867	99056
160	18966	98838
161	19091	98759
162	19201	98597
163	19322	98497
164	19436	98362
165	19538	98164
166	19612	97827
167	19683	97480
168	19763	97178
169	19834	96840
170	19935	96646
171	20050	96523
172	20162	96385
173	20272	96236
174	20395	96151
175	20542	96176
176	20646	95999
177	20766	95898
178	20862	95689
179	20964	95507
180	21069	95336
181	21179	95192
182	21238	94818
183	21322	94559
184	21396	94258
185	21498	94082
186	21608	93944
187	21721	93819
188	21829	93668
189	21947	93566
190	22162	93871
191	22279	93759
192	22363	93510
193	22450	93274
194	22529	93007
195	22595	92687
196	22664	92383
197	22779	92269
198	22886	92121
199	23004	92017
200	23120	91906
201	23254	91867
202	23369	91752
203	23499	91694
204	23613	91575
205	23726	91448
206	23818	91247
207	23879	90924
208	23946	90631
209	24009	90319
210	24062	89976
211	24148	89758
212	24254	89616
213	24369	89507
214	24487	89408
215	24590	89253
216	24700	89126
217	24804	88978
218	24925	88888
219	25029	88742
220	25138	88611
221	25240	88455
222	25362	88371
223	25465	88219
224	25557	88032
225	25674	87928
226	25779	87786
227	25848	87522
228	25972	87444
229	26077	87301
230	26136	87006
231	26264	86945
232	26454	87084
233	26577	87002
234	26704	86933
235	26825	86840
236	26926	86686
237	27012	86486
238	27087	86249
239	27202	86141
240	27312	86017
241	27455	85996
242	27529	85760
243	27604	85527
244	27679	85299
245	27789	85176
246	27903	85065
247	28013	84943
248	28124	84825
249	28245	84735
250	28352	84604
251	28469	84505
252	28565	84340
253	28633	84096
254	28696	83838
255	28772	83620
256	28848	83403
257	28948	83255
258	29054	83124
259	29151	82969
260	29271	82879
261	29384	82770
262	29516	82712
263	29630	82605
264	29760	82542
265	29901	82511
266	30020	82416
267	30096	82203
268	30184	82025
269	30300	81922
270	30400	81779
271	30513	81669
272	30577	81427
273	30680	81290
274	30798	81196
275	30920	81109
276	31024	80976
277	31130	80849
278	31202	80635
279	31309	80510
280	31412	80374
281	31550	80329
282	31639	80161
283	31704	79931
284	31840	79879
285	32009	79911
286	32168	79915
287	32281	79806
288	32388	79683
289	32471	79499
290	32564	79340
291	32652	79169
292	32747	79018
293	32870	78934
294	32979	78814
295	33066	78644
296	33142	78447
