iter	Passed	Remaining
0	64	63967
1	126	63297
2	194	64625
3	284	70757
4	343	68274
5	408	67664
6	462	65677
7	517	64220
8	587	64675
9	645	63907
10	720	64800
11	804	66245
12	879	66809
13	936	65932
14	987	64842
15	1042	64123
16	1097	63437
17	1148	62650
18	1206	62311
19	1258	61653
20	1319	61505
21	1378	61283
22	1433	60879
23	1489	60557
24	1547	60337
25	1600	59972
26	1656	59695
27	1758	61058
28	1833	61394
29	1887	61026
30	1940	60670
31	1994	60334
32	2067	60583
33	2157	61310
34	2210	60956
35	2266	60700
36	2330	60649
37	2391	60535
38	2464	60719
39	2542	61025
40	2620	61286
41	2703	61669
42	2766	61577
43	2830	61489
44	2900	61546
45	2956	61323
46	3011	61055
47	3061	60721
48	3141	60976
49	3197	60745
50	3252	60523
51	3310	60350
52	3360	60040
53	3425	60004
54	3492	60004
55	3568	60151
56	3619	59877
57	3685	59861
58	3753	59857
59	3820	59858
60	3873	59622
61	3982	60251
62	4034	59999
63	4082	59703
64	4157	59807
65	4210	59579
66	4299	59876
67	4367	59858
68	4464	60242
69	4517	60020
70	4569	59794
71	4698	60557
72	4767	60546
73	4822	60341
74	4874	60117
75	4989	60657
76	5035	60359
77	5114	60461
78	5163	60196
79	5217	60001
80	5299	60124
81	5378	60213
82	5428	59971
83	5480	59767
84	5533	59568
85	5585	59358
86	5636	59155
87	5694	59016
88	5752	58883
89	5801	58659
90	5850	58442
91	5896	58196
92	5949	58028
93	6003	57861
94	6056	57693
95	6106	57502
96	6158	57330
97	6205	57114
98	6257	56946
99	6324	56916
100	6380	56789
101	6426	56578
102	6499	56603
103	6554	56471
104	6614	56381
105	6659	56164
106	6710	56005
107	6759	55824
108	6819	55745
109	6869	55577
110	6929	55499
111	6978	55329
112	7028	55174
113	7077	55006
114	7143	54973
115	7189	54788
116	7240	54642
117	7286	54466
118	7343	54367
119	7394	54229
120	7446	54096
121	7492	53923
122	7543	53785
123	7599	53689
124	7645	53519
125	7699	53404
126	7750	53274
127	7803	53159
128	7857	53052
129	7918	52995
130	7970	52870
131	8036	52846
132	8098	52792
133	8150	52671
134	8198	52530
135	8241	52360
136	8295	52255
137	8363	52241
138	8422	52170
139	8472	52043
140	8520	51907
141	8582	51856
142	8635	51750
143	8681	51604
144	8732	51491
145	8783	51376
146	8844	51322
147	8891	51187
148	8937	51046
149	8982	50900
150	9031	50777
151	9080	50657
152	9129	50538
153	9175	50405
154	9225	50292
155	9277	50193
156	9335	50126
157	9398	50083
158	9483	50160
159	9537	50072
160	9613	50097
161	9668	50015
162	9718	49906
163	9776	49833
164	9841	49801
165	9896	49723
166	9949	49626
167	10001	49531
168	10055	49442
169	10102	49324
170	10152	49220
171	10203	49119
172	10260	49050
173	10314	48962
174	10361	48848
175	10419	48780
176	10461	48640
177	10513	48551
178	10567	48470
179	10611	48342
180	10661	48240
181	10703	48108
182	10762	48046
183	10806	47923
184	10875	47911
185	10920	47791
186	10962	47659
187	11014	47574
188	11062	47469
189	11105	47345
190	11153	47242
191	11235	47281
192	11294	47226
193	11345	47135
194	11392	47030
195	11439	46925
196	11497	46865
197	11603	46998
198	11654	46911
